,meta_pin,meta_year,meta_class,char_hd_sf,char_age,char_rooms,char_beds,char_frpl,char_fbath,char_hbath,char_bldg_sf,geo_longitude,geo_latitude
383981,13242020150000,2020.0,278,3129.0,25.0,10.0,3.0,2.0,3.0,1.0,2166.0,-87.6907486523288,41.95332214623012
383982,13242020160000,2020.0,203,3050.0,127.0,4.0,3.0,0.0,1.0,0.0,1077.0,-87.69065670220327,41.95332263505244
383983,13242020170000,2020.0,278,3050.0,21.0,8.0,4.0,0.0,2.0,1.0,2340.0,-87.69056478933153,41.95332313418099
383984,13242020180000,2020.0,278,3050.0,9.0,9.0,4.0,2.0,3.0,1.0,2639.0,-87.69047289724921,41.95332367148331
383987,13242020210000,2020.0,206,3050.0,96.0,7.0,3.0,0.0,2.0,1.0,2350.0,-87.69019717693355,41.95332513777405
383997,13242030020000,2020.0,203,3137.0,61.0,6.0,3.0,0.0,2.0,0.0,1020.0,-87.69073096042578,41.95280367725772
383998,13242030030000,2020.0,203,3050.0,96.0,6.0,3.0,0.0,1.0,0.0,1510.0,-87.69063902907219,41.952804297239545
383999,13242030050000,2020.0,278,3050.0,12.0,8.0,4.0,1.0,3.0,1.0,2544.0,-87.69045525848186,41.95280549602496
384000,13242030060000,2020.0,203,4575.0,98.0,6.0,3.0,0.0,1.0,1.0,1447.0,-87.69034037496226,41.952806237393986
384001,13242030070000,2020.0,203,4575.0,94.0,6.0,3.0,0.0,1.0,0.0,1275.0,-87.69020248334785,41.95280712981952
384003,13242030090000,2020.0,203,3660.0,80.0,5.0,3.0,0.0,1.0,0.0,1232.0,-87.68996812473303,41.95280868428657
384005,13242030110000,2020.0,206,3660.0,98.0,7.0,4.0,1.0,2.0,1.0,2778.0,-87.68972913132092,41.952810278305144
384008,13242030160000,2020.0,278,3050.0,6.0,8.0,4.0,0.0,3.0,1.0,2536.0,-87.68916844465,41.9528139246384
384009,13242030180000,2020.0,278,3226.0,3.0,6.0,3.0,1.0,2.0,1.0,2171.0,-87.69071794754662,41.95242292736885
384010,13242030190000,2020.0,205,3050.0,122.0,7.0,4.0,0.0,2.0,1.0,2044.0,-87.69062603259172,41.95242371684766
384011,13242030200000,2020.0,203,3050.0,97.0,6.0,3.0,0.0,2.0,0.0,1421.0,-87.69053411877482,41.952424492057375
384012,13242030210000,2020.0,203,3812.0,97.0,5.0,3.0,1.0,1.0,0.0,1146.0,-87.69043073851294,41.952425377735345
384013,13242030220000,2020.0,203,3812.0,97.0,5.0,3.0,0.0,1.0,0.0,1200.0,-87.69031584395194,41.95242635721112
384014,13242030230000,2020.0,203,3812.0,97.0,6.0,2.0,0.0,1.0,0.0,1248.0,-87.6902009531625,41.95242733698238
384015,13242030240000,2020.0,203,3812.0,97.0,6.0,3.0,0.0,1.0,0.0,1144.0,-87.69008607738424,41.95242834289043
384016,13242030250000,2020.0,205,3660.0,100.0,6.0,4.0,0.0,1.0,1.0,1785.0,-87.68997351953817,41.952429272960494
384017,13242030260000,2020.0,204,3660.0,100.0,5.0,3.0,1.0,2.0,0.0,1904.0,-87.68986326003994,41.95243021976938
384018,13242030270000,2020.0,206,3660.0,100.0,9.0,4.0,0.0,2.0,1.0,2517.0,-87.68975296299014,41.9524311612435
384019,13242030280000,2020.0,203,3660.0,100.0,5.0,2.0,0.0,1.0,0.0,1545.0,-87.68964262786403,41.952432093013456
384020,13242030290000,2020.0,203,3660.0,100.0,6.0,4.0,0.0,1.0,1.0,1779.0,-87.68953233372622,41.95243303210942
384021,13242030300000,2020.0,203,3050.0,122.0,6.0,3.0,0.0,1.0,0.0,1450.0,-87.68943124445737,41.952433921397734
384022,13242030310000,2020.0,202,3050.0,117.0,4.0,2.0,0.0,1.0,0.0,800.0,-87.68933931145588,41.95243467328237
384027,13242040010000,2020.0,204,3780.0,95.0,7.0,4.0,1.0,2.0,0.0,1861.0,-87.69069057869078,41.95189600560686
384028,13242040020000,2020.0,278,3750.0,15.0,9.0,5.0,1.0,3.0,1.0,2560.0,-87.69058125462854,41.95189546102929
384029,13242040040000,2020.0,278,3750.0,15.0,7.0,4.0,1.0,3.0,1.0,2416.0,-87.69036073243082,41.95189751974106
384030,13242040050000,2020.0,204,4125.0,96.0,8.0,5.0,0.0,2.0,0.0,1960.0,-87.69024495992194,41.95189859898533
384031,13242040060000,2020.0,204,4125.0,96.0,8.0,4.0,1.0,1.0,0.0,2059.0,-87.69012363046846,41.951899731910245
384032,13242040070000,2020.0,204,4125.0,96.0,7.0,4.0,0.0,1.0,1.0,1960.0,-87.69000232605575,41.95190088030838
384033,13242040080000,2020.0,203,4125.0,96.0,6.0,3.0,0.0,2.0,0.0,1513.0,-87.68988105344941,41.951901978743194
384034,13242040090000,2020.0,206,4125.0,96.0,7.0,4.0,0.0,3.0,1.0,2652.0,-87.68975976432291,41.951903111979966
384035,13242040100000,2020.0,278,4125.0,9.0,8.0,3.0,1.0,3.0,1.0,2467.0,-87.68963843922845,41.95190425657937
384036,13242040110000,2020.0,278,4125.0,3.0,7.0,5.0,1.0,4.0,1.0,2677.0,-87.6895171462034,41.95190538814656
384037,13242040120000,2020.0,205,4125.0,92.0,4.0,1.0,0.0,1.0,0.0,549.0,-87.68939585945245,41.95190651896389
384038,13242040130000,2020.0,278,4125.0,21.0,8.0,4.0,1.0,2.0,1.0,2464.0,-87.68927453009987,41.951907649190304
384039,13242040140000,2020.0,203,4125.0,96.0,6.0,3.0,0.0,1.0,0.0,1164.0,-87.6891532432704,41.95190877909411
384040,13242040150000,2020.0,278,3391.0,3.0,8.0,5.0,1.0,3.0,1.0,2168.0,-87.690680793237,41.95151070448969
384041,13242040160000,2020.0,278,3390.0,6.0,8.0,4.0,0.0,3.0,1.0,2090.0,-87.6905858616805,41.95150986999084
384043,13242040180000,2020.0,204,4125.0,96.0,8.0,4.0,0.0,2.0,0.0,2116.0,-87.69035980891196,41.95151184590533
384044,13242040190000,2020.0,203,4125.0,96.0,6.0,3.0,0.0,1.0,0.0,1222.0,-87.6902385026149,41.951512878085325
384045,13242040200000,2020.0,204,4125.0,96.0,7.0,4.0,0.0,2.0,0.0,1861.0,-87.69011717962789,41.95151391354756
384046,13242040210000,2020.0,203,4125.0,96.0,6.0,3.0,0.0,1.0,0.0,1222.0,-87.68999587183008,41.951514932271934
384047,13242040220000,2020.0,203,4125.0,96.0,6.0,3.0,1.0,1.0,0.0,1222.0,-87.68987460432203,41.95151598455646
384048,13242040230000,2020.0,203,4125.0,96.0,6.0,3.0,0.0,2.0,0.0,1222.0,-87.68975331434144,41.95151702005555
384049,13242040240000,2020.0,203,4125.0,96.0,6.0,3.0,0.0,1.0,0.0,1222.0,-87.6896319708513,41.95151805135148
384050,13242040250000,2020.0,204,4125.0,96.0,8.0,4.0,0.0,2.0,0.0,2116.0,-87.68951066797247,41.95151911643055
384051,13242040260000,2020.0,203,4125.0,96.0,5.0,3.0,0.0,1.0,0.0,1222.0,-87.68938937721514,41.95152016579383
384052,13242040270000,2020.0,203,4125.0,96.0,6.0,3.0,0.0,1.0,0.0,1222.0,-87.68926805414826,41.95152120019498
384053,13242040280000,2020.0,204,4125.0,96.0,7.0,4.0,0.0,2.0,0.0,2327.0,-87.6891467642044,41.9515222350479
384054,13242050010000,2020.0,203,3391.0,96.0,6.0,3.0,0.0,1.0,0.0,1571.0,-87.69066433865562,41.95098573931065
384055,13242050020000,2020.0,202,3390.0,96.0,5.0,2.0,0.0,1.0,0.0,989.0,-87.69056597250218,41.950986957633354
384056,13242050030000,2020.0,203,4125.0,96.0,4.0,3.0,0.0,1.0,0.0,1116.0,-87.69045635839454,41.950987808683394
