,meta_pin,meta_year,meta_class,meta_sale_price,char_hd_sf,char_age,char_rooms,char_beds,char_frpl,char_fbath,char_hbath,char_bldg_sf,geo_longitude,geo_latitude
126575,13242020170000,2017.0,278,850000.0,3050.0,18.0,8.0,4.0,0.0,2.0,1.0,2340.0,-87.69056478933153,41.95332313418099
126576,13242020180000,2013.0,278,1055000.0,3050.0,2.0,9.0,4.0,3.0,3.0,1.0,2639.0,-87.69047289724921,41.95332367148331
126578,13242030020000,2013.0,203,330000.0,3137.0,54.0,6.0,3.0,0.0,2.0,0.0,1020.0,-87.69073096042578,41.95280367725772
126579,13242030040000,2014.0,202,300000.0,3050.0,116.0,4.0,2.0,0.0,2.0,0.0,680.0,-87.69054713392488,41.952804885172135
126580,13242030110000,2018.0,206,976711.0,3660.0,96.0,7.0,4.0,1.0,2.0,1.0,2778.0,-87.68972913132092,41.952810278305144
126582,13242030160000,2013.0,203,350000.0,3050.0,48.0,5.0,3.0,0.0,1.0,0.0,1040.0,-87.68916844465,41.9528139246384
126583,13242030160000,2016.0,278,1004500.0,3050.0,2.0,8.0,4.0,0.0,3.0,1.0,2536.0,-87.68916844465,41.9528139246384
126584,13242030180000,2015.0,204,365000.0,3226.0,81.0,5.0,3.0,0.0,2.0,0.0,1829.0,-87.69071794754662,41.95242292736885
126585,13242030210000,2018.0,203,485000.0,3812.0,95.0,5.0,3.0,1.0,1.0,0.0,1146.0,-87.69043073851294,41.952425377735345
126586,13242030270000,2017.0,206,990000.0,3660.0,97.0,9.0,4.0,0.0,2.0,1.0,2517.0,-87.68975296299014,41.9524311612435
126588,13242040030000,2015.0,203,415000.0,3750.0,90.0,4.0,2.0,0.0,1.0,0.0,1044.0,-87.69047099504768,41.95189648848919
126589,13242040090000,2013.0,203,960000.0,4125.0,89.0,6.0,3.0,0.0,1.0,0.0,1164.0,-87.68975976432291,41.951903111979966
126590,13242040100000,2013.0,203,210000.0,4125.0,89.0,4.0,3.0,0.0,1.0,0.0,1164.0,-87.68963843922845,41.95190425657937
126591,13242040100000,2014.0,203,956000.0,4125.0,3.0,8.0,3.0,1.0,3.0,1.0,2467.0,-87.68963843922845,41.95190425657937
126592,13242040100000,2019.0,278,1225000.0,4125.0,8.0,8.0,3.0,1.0,3.0,1.0,2467.0,-87.68963843922845,41.95190425657937
126593,13242040140000,2019.0,203,387450.0,4125.0,95.0,6.0,3.0,0.0,1.0,0.0,1164.0,-87.6891532432704,41.95190877909411
126594,13242040150000,2018.0,203,300000.0,3391.0,94.0,5.0,3.0,0.0,1.0,0.0,1222.0,-87.690680793237,41.95151070448969
126595,13242040150000,2019.0,278,950000.0,3391.0,2.0,8.0,5.0,1.0,3.0,1.0,2168.0,-87.690680793237,41.95151070448969
126596,13242040160000,2013.0,203,305100.0,3390.0,89.0,4.0,3.0,0.0,1.0,0.0,1150.0,-87.6905858616805,41.95150986999084
126597,13242040160000,2016.0,278,945000.0,3390.0,2.0,8.0,4.0,0.0,3.0,1.0,2090.0,-87.6905858616805,41.95150986999084
126598,13242040200000,2014.0,203,455000.0,4125.0,90.0,6.0,3.0,0.0,1.0,0.0,1222.0,-87.69011717962789,41.95151391354756
126599,13242040210000,2016.0,203,502500.0,4125.0,92.0,6.0,3.0,0.0,1.0,0.0,1222.0,-87.68999587183008,41.951514932271934
126600,13242040240000,2018.0,203,485000.0,4125.0,94.0,6.0,3.0,0.0,1.0,0.0,1222.0,-87.6896319708513,41.95151805135148
126601,13242040270000,2018.0,203,510000.0,4125.0,94.0,6.0,3.0,0.0,1.0,0.0,1222.0,-87.68926805414826,41.95152120019498
